line,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,raw_address,is_exact_address_hidden,street_name,street_number,floor,is_floor_under,neighborhood_id,operation,rent_price,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
14,21728,Piso en venta en calle GODELLA,"San Cristóbal, Madrid",64.0,,3,1.0,,Calle GODELLA,True,Calle GODELLA,,3,False,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,408,72000,1125,True,HouseType 1: Pisos,False,False,1960.0,False,True,False,False,False,True,False,False,True,False,False,False,False,F,False,,,,,,
15,21727,Piso en venta en calle San Macario,"Los Rosales, Madrid",115.0,,3,1.0,,Calle San Macario,True,Calle San Macario,,3,False,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,780,160000,1391,True,HouseType 1: Pisos,False,False,,False,True,True,False,,True,False,False,True,False,True,False,False,en trámite,False,,,,,,
23,21719,Piso en venta en camino Leganés,"San Andrés, Madrid",51.0,,2,1.0,,Camino Legans,True,Camino Legans,,Semi-sótano,True,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,508,93000,1824,True,HouseType 1: Pisos,False,False,,,,False,False,,,False,False,False,False,False,False,False,en trámite,False,,,,,,
24,21718,Piso en venta en calle de las Islas,"San Andrés, Madrid",134.0,,3,2.0,,Calle de las Islas,True,Calle de las Islas,,2,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,666,130000,970,True,HouseType 1: Pisos,False,False,,,,False,False,True,,False,False,False,False,False,False,False,en trámite,False,,,,,,
25,21717,Piso en venta en calle de Parvillas Bajas,"San Andrés, Madrid",62.0,,2,1.0,,Calle de Parvillas Bajas,True,Calle de Parvillas Bajas,,2,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,557,104000,1677,True,HouseType 1: Pisos,False,,,False,True,False,False,,True,False,False,True,False,False,False,False,en trámite,False,,,,,,
28,21714,Piso en venta en calle Villajoyosa,"Los Rosales, Madrid",65.0,63.0,3,1.0,,Calle Villajoyosa,True,Calle Villajoyosa,,1,False,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,744,150000,2308,True,HouseType 1: Pisos,True,False,1976.0,False,True,False,True,True,True,False,True,False,False,False,False,False,en trámite,False,,,,,,
29,21713,Piso en venta en paseo de Alberto Palacios,"San Andrés, Madrid",70.0,63.0,2,1.0,,Paseo de Alberto Palacios,True,Paseo de Alberto Palacios,,3,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,728,145900,2084,True,HouseType 1: Pisos,False,False,1968.0,False,True,True,True,False,True,False,False,True,True,False,False,False,E,False,,,False,False,True,False
30,21712,Piso en venta en calle Laguna del Marquesado,"San Andrés, Madrid",75.0,,1,1.0,,Calle Laguna del Marquesado,True,Calle Laguna del Marquesado,,1,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,505,92500,1233,True,HouseType 1: Pisos,False,,2008.0,False,True,True,True,True,True,False,False,False,True,False,True,False,en trámite,False,,,True,True,True,True
31,21711,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",123.0,,3,2.0,,Carretera de Villaverde a Vallecas,True,Carretera de Villaverde a Vallecas,,7,False,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1195,298000,2423,True,HouseType 1: Pisos,False,False,2002.0,False,True,True,True,True,True,False,True,False,False,True,False,False,en trámite,True,True,0.0,,,,
32,21710,Piso en venta en camino Leganés,"San Andrés, Madrid",61.0,,3,1.0,,Camino Legans,True,Camino Legans,,2,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,539,99900,1638,True,HouseType 1: Pisos,False,,,False,True,True,False,,True,False,False,True,False,False,False,False,en trámite,False,,,,,,
34,21708,"Piso en venta en Concepción de la Oliva, 21","Butarque, Madrid",61.0,56.0,3,1.0,,"Concepcin de la Oliva, 21",False,Concepcin de la Oliva,21,5,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,539,100000,1639,True,HouseType 1: Pisos,False,False,1966.0,False,True,False,False,False,True,False,False,False,True,False,False,False,en trámite,False,,,True,False,True,False
35,21707,Piso en venta en San Neviano - Villaverde,"San Andrés, Madrid",71.0,,3,1.0,,San Neviano - Villaverde,True,San Neviano - Villaverde,,1,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,672,131400,1851,True,HouseType 1: Pisos,True,False,1980.0,False,True,False,False,False,True,False,False,True,False,False,False,False,en trámite,False,,,,,,
37,21705,Piso en venta en paseo de Alberto Palacios,"San Andrés, Madrid",60.0,1.0,2,1.0,,Paseo de Alberto Palacios,True,Paseo de Alberto Palacios,,,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,758,154000,2567,True,HouseType 1: Pisos,False,False,,,,True,True,False,True,False,False,True,False,False,False,False,A,False,,,False,False,True,False
38,21704,Piso en venta en calle la Dolorosa,"Los Ángeles, Madrid",78.0,63.0,4,1.0,,Calle la Dolorosa,True,Calle la Dolorosa,,2,False,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,731,146700,1881,True,HouseType 1: Pisos,False,,,,,False,True,True,True,False,False,False,False,False,True,False,G,False,,,False,False,True,False
39,21703,Piso en venta en calle Encarnación Oviol,"Los Rosales, Madrid",52.0,41.0,1,1.0,,Calle Encarnacin Oviol,True,Calle Encarnacin Oviol,,1,False,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,505,92500,1779,True,HouseType 1: Pisos,False,,,False,True,True,False,False,,False,False,False,False,False,False,False,G,False,,,,,,
40,21702,Dúplex en venta en calle ESTEFANITA,"Butarque, Madrid",125.0,,3,3.0,,Calle ESTEFANITA,True,Calle ESTEFANITA,,7,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1135,275000,2200,True,HouseType 4: Dúplex,False,False,2004.0,,,True,False,True,True,False,True,True,False,True,False,False,D,False,,,,,,
41,21701,Estudio en venta en calle Laguna del Marquesado,"San Andrés, Madrid",75.0,,0,1.0,,Calle Laguna del Marquesado,True,Calle Laguna del Marquesado,,1,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,465,83800,1117,True,,False,False,2008.0,False,True,True,True,True,True,False,False,True,True,False,True,False,en trámite,False,,,True,True,True,True
42,21700,"Piso en venta en calle Arroyo de la Bulera, 31","Butarque, Madrid",97.0,73.0,2,2.0,,"Calle Arroyo de la Bulera, 31",False,Calle Arroyo de la Bulera,31,Bajo,True,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1111,266122,2744,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,True,False,False,False,True,no indicado,False,,,,,,
43,21699,"Piso en venta en calle Arroyo de la Bulera, 31","Butarque, Madrid",93.0,70.0,2,2.0,,"Calle Arroyo de la Bulera, 31",False,Calle Arroyo de la Bulera,31,7,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1004,228273,2455,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,True,False,False,False,True,no indicado,False,,,,,,
44,21698,Piso en venta en calle de la del Manojo de Rosas,"Los Ángeles, Madrid",103.0,,4,2.0,,Calle de la del Manojo de Rosas,True,Calle de la del Manojo de Rosas,,1,False,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,823,171900,1669,True,HouseType 1: Pisos,False,False,,,,False,False,True,True,False,False,False,False,True,False,False,en trámite,False,,,,,,
45,21697,Ático en venta en Villaverde a perales,"Butarque, Madrid",83.0,69.0,2,2.0,,Villaverde a perales,True,Villaverde a perales,,7,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1004,228273,2750,True,HouseType 5: Áticos,False,False,2020.0,False,True,True,True,True,True,False,True,True,False,True,True,True,en trámite,True,True,0.0,,,,
46,21696,Piso en venta en calle de Juan José Martínez Seco,"Los Rosales, Madrid",45.0,41.0,2,1.0,,Calle de Juan Jos Martinez Seco,True,Calle de Juan Jos Martinez Seco,,1,False,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,471,85000,1889,True,HouseType 1: Pisos,True,False,1968.0,False,True,False,False,False,True,False,False,False,True,False,False,False,E,False,,,,,,
47,21695,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",120.0,,3,2.0,,Carretera de Villaverde a Vallecas,True,Carretera de Villaverde a Vallecas,,7,False,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1195,298000,2483,True,HouseType 1: Pisos,False,False,,False,True,True,True,True,,False,True,False,False,True,False,False,en trámite,True,True,0.0,,,,
48,21694,"Piso en venta en calle la del Soto del Parral, 59","Los Ángeles, Madrid",74.0,,3,1.0,,"Calle la del Soto del Parral, 59",False,Calle la del Soto del Parral,59,1,False,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,702,139000,1878,True,HouseType 1: Pisos,False,False,,False,True,False,True,False,True,False,False,False,False,True,False,False,no indicado,False,,,False,False,True,False
49,21693,"Dúplex en venta en calle Estefanita, 6","Butarque, Madrid",125.0,,3,2.0,,"Calle Estefanita, 6",False,Calle Estefanita,6,7,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1128,272500,2180,True,HouseType 4: Dúplex,False,False,2004.0,False,True,False,True,True,True,False,True,True,False,True,False,True,F,False,,,,,,
50,21692,Piso en venta en calle Berrocal,"Butarque, Madrid",126.0,105.0,4,2.0,,Calle Berrocal,True,Calle Berrocal,,Bajo,True,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1135,275000,2183,True,HouseType 1: Pisos,False,False,,False,True,True,True,True,True,False,True,True,False,True,True,True,en trámite,True,True,0.0,False,False,True,True
51,21691,"Ático en venta en calle Euskalduna, 14","Butarque, Madrid",158.0,,3,2.0,,"Calle Euskalduna, 14",False,Calle Euskalduna,14,4,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1172,289000,1829,True,HouseType 5: Áticos,False,False,2003.0,False,True,True,True,True,True,False,True,True,False,True,False,True,en trámite,True,True,0.0,,,,
53,21689,Piso en venta en calle Alcocer,"Los Ángeles, Madrid",108.0,,3,2.0,,Calle Alcocer,True,Calle Alcocer,,4,False,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,847,179000,1657,True,HouseType 1: Pisos,False,False,1978.0,,,False,True,True,True,False,False,True,False,False,False,False,en trámite,False,,,,,,
55,21687,Piso en venta en calle Topacio,"Los Rosales, Madrid",51.0,,2,1.0,,Calle Topacio,True,Calle Topacio,,3,False,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,492,89500,1755,True,HouseType 1: Pisos,True,False,1967.0,,,False,False,False,True,False,False,True,False,False,False,False,en trámite,False,,,False,False,False,True
56,21686,"Piso en venta en calle Calcio, 15","Butarque, Madrid",112.0,80.0,3,2.0,,"Calle Calcio, 15",False,Calle Calcio,15,3,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1172,289000,2580,True,HouseType 1: Pisos,False,False,2013.0,False,True,True,True,True,True,False,True,False,False,True,True,True,E,True,True,0.0,False,False,True,False
57,21685,"Piso en venta en calle Camas, 2","Butarque, Madrid",109.0,,3,2.0,,"Calle Camas, 2",False,Calle Camas,2,2,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,968,216278,1984,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
58,21684,"Piso en venta en calle Camas, 2","Butarque, Madrid",107.0,,3,2.0,,"Calle Camas, 2",False,Calle Camas,2,1,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,940,207503,1939,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
59,21683,"Piso en venta en calle Camas, 2","Butarque, Madrid",76.0,,2,2.0,,"Calle Camas, 2",False,Calle Camas,2,3,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,790,162793,2142,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,False,False,True,False,False,no indicado,True,True,0.0,,,,
60,21682,"Piso en venta en calle Camas, 2","Butarque, Madrid",105.0,,3,2.0,,"Calle Camas, 2",False,Calle Camas,2,1,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,933,204999,1952,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
61,21681,"Piso en venta en calle Camas, 2","Butarque, Madrid",109.0,,3,2.0,,"Calle Camas, 2",False,Calle Camas,2,4,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,982,220879,2026,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
62,21680,"Piso en venta en calle Camas, 2","Butarque, Madrid",108.0,,3,2.0,,"Calle Camas, 2",False,Calle Camas,2,4,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,974,218258,2021,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
63,21679,"Piso en venta en calle Camas, 2","Butarque, Madrid",109.0,,3,2.0,,"Calle Camas, 2",False,Calle Camas,2,Bajo,True,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1014,231855,2127,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
64,21678,"Piso en venta en calle Camas, 2","Butarque, Madrid",76.0,,2,2.0,,"Calle Camas, 2",False,Calle Camas,2,4,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,793,163397,2150,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,False,False,True,False,False,no indicado,True,True,0.0,,,,
65,21677,"Piso en venta en calle Camas, 2","Butarque, Madrid",76.0,,2,2.0,,"Calle Camas, 2",False,Calle Camas,2,2,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,783,160759,2115,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,False,False,True,False,False,no indicado,True,True,0.0,,,,
66,21676,"Piso en venta en calle Camas, 2","Butarque, Madrid",108.0,,3,2.0,,"Calle Camas, 2",False,Calle Camas,2,3,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,970,217169,2011,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
67,21675,"Piso en venta en calle Camas, 2","Butarque, Madrid",76.0,,2,2.0,,"Calle Camas, 2",False,Calle Camas,2,5,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,799,165208,2174,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,False,False,True,False,False,no indicado,True,True,0.0,,,,
68,21674,"Piso en venta en calle Camas, 2","Butarque, Madrid",109.0,,3,2.0,,"Calle Camas, 2",False,Calle Camas,2,3,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,978,219775,2016,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
69,21673,"Piso en venta en calle Camas, 2","Butarque, Madrid",108.0,,3,2.0,,"Calle Camas, 2",False,Calle Camas,2,Bajo,True,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1011,230817,2137,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
70,21672,"Piso en venta en calle Camas, 2","Butarque, Madrid",108.0,,3,2.0,,"Calle Camas, 2",False,Calle Camas,2,2,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,960,213722,1979,True,HouseType 1: Pisos,False,True,,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
71,21671,"Ático en venta en calle Ganados del Salobral , 12","Butarque, Madrid",111.0,,2,2.0,,"Calle Ganados del Salobral , 12",False,Calle Ganados del Salobral ,12,6,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1011,230749,2079,True,HouseType 5: Áticos,False,True,,,,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
72,21670,"Piso en venta en calle Ganados del Salobral , 12","Butarque, Madrid",115.0,,3,2.0,,"Calle Ganados del Salobral , 12",False,Calle Ganados del Salobral ,12,2,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1020,233789,2033,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,False,False,True,False,False,no indicado,True,True,0.0,,,,
73,21669,"Piso en venta en calle Ganados del Salobral , 12","Butarque, Madrid",115.0,,3,2.0,,"Calle Ganados del Salobral , 12",False,Calle Ganados del Salobral ,12,1,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1011,230789,2007,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,False,False,True,False,False,no indicado,True,True,0.0,,,,
74,21668,"Piso en venta en calle Ganados del Salobral , 12","Butarque, Madrid",117.0,,3,2.0,,"Calle Ganados del Salobral , 12",False,Calle Ganados del Salobral ,12,1,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1050,244171,2087,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
75,21667,"Piso en venta en calle Ganados del Salobral , 12","Butarque, Madrid",117.0,,3,2.0,,"Calle Ganados del Salobral , 12",False,Calle Ganados del Salobral ,12,1,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1048,243468,2081,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
76,21666,"Piso en venta en calle Ganados del Salobral , 12","Butarque, Madrid",117.0,,3,2.0,,"Calle Ganados del Salobral , 12",False,Calle Ganados del Salobral ,12,1,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1052,244798,2092,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,True,0.0,,,,
77,21665,"Piso en venta en calle Ganados del Salobral , 12","Butarque, Madrid",118.0,,3,2.0,,"Calle Ganados del Salobral , 12",False,Calle Ganados del Salobral ,12,1,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,977,219235,1858,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,False,False,True,False,False,no indicado,True,True,0.0,,,,
78,21664,"Piso en venta en calle Ganados del Salobral , 12","Butarque, Madrid",115.0,,3,2.0,,"Calle Ganados del Salobral , 12",False,Calle Ganados del Salobral ,12,5,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1046,242789,2111,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,False,False,True,False,False,no indicado,True,True,0.0,,,,
80,21662,"Piso en venta en calle Arroyo de la Bulera, 31","Butarque, Madrid",106.0,81.0,3,2.0,,"Calle Arroyo de la Bulera, 31",False,Calle Arroyo de la Bulera,31,3,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1071,251569,2373,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,True,False,False,False,True,no indicado,False,,,,,,
81,21661,"Piso en venta en calle Arroyo de la Bulera, 31","Butarque, Madrid",103.0,79.0,3,2.0,,"Calle Arroyo de la Bulera, 31",False,Calle Arroyo de la Bulera,31,3,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1025,235402,2285,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,True,False,False,False,True,no indicado,False,,,,,,
82,21660,"Piso en venta en calle Arroyo de la Bulera, 31","Butarque, Madrid",103.0,79.0,3,2.0,,"Calle Arroyo de la Bulera, 31",False,Calle Arroyo de la Bulera,31,1,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1024,235172,2283,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,True,False,False,False,True,no indicado,False,,,,,,
83,21659,"Piso en venta en calle Arroyo de la Bulera, 31","Butarque, Madrid",103.0,79.0,3,2.0,,"Calle Arroyo de la Bulera, 31",False,Calle Arroyo de la Bulera,31,5,False,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1027,236227,2293,True,HouseType 1: Pisos,False,True,,,,False,False,True,True,False,True,True,False,False,False,True,no indicado,False,,,,,,
